Date,Event,Cost,mileage,Gallons pumped,Cost per gallon
12/6/2018,Purchased Mazda3 i sport,11301.62,49***,,
12/8/2018,gas,30,49***,,
12/14/2018,Left Danielle's house,N/A,"50,000",,
12/21/2018,gas,30,50***,,
1/4/2018,Registration,224,50***,,
1/11/2018,Loan Payment,179.29,,,
1/15/2018,Loan Payment,179.29,,,
1/12/2019,gas,24.62,50396,8.672,2.83902214
2/15/2019,gas,26.35,50666,9.55,2.759162304
3/14/2019,gas,28.17,50921,9.786,2.878602085
3/29/2019,gas,26.63,,9.316,
4/15/2019,gas,32.45,51467,10.144,3.198935331
5/4/2019,gas,33.63,51760,10.012,
5/17/2019,gas,28.63,52017,8.497,3.369424503
5/31/2019,Oil Change,56.98,52181,,
6/7/2019,gas,29.02,52201,8.613,3.369325438
6/19/2019,gas,31.35,52478,9.168,3.419502618
7/2/2019,gas,28.41,52683,8.561,3.318537554
7/17/2019,gas,17.06,52893,5.14,3.319066148
7/26/2019,gas,10.02,53024,3.183,3.14797361
7/30/2019,gas,28.54,53100,9.063,3.149067638
8/11/2019,gas,29.45,53345,9.15,3.218579235
8/23/2019,gas,29.32,53547,9.585,3.05894627
9/6/2019,gas,26.98,53765,8.996,2.999110716
10/1/2019,gas,20,54090,,
10/15/2019,gas,35.24,54415,10.338,3.40878313
10/30/2019,gas,30.59,54682,9.216,3.319227431
11/24/2019,gas,28.41,55179,8.88,3.199
12/12/2019,gas,27.01,55398,8.976,3.009
12/20/2019,Oil Change,122.49,55519,,
12/20/2019,Smoggin,20,55540,,
12/23/2019,Registration,237,55560,,
12/25/2019,gas,28,55670,9.337,2.99
1/9/2020,gas,21.35,55858,7.468,2.859
1/27/2020,gas,23.75,56115,8.486,2.799
2/15/2019,Loan Payment,179.29,,,
3/15/2019,Loan Payment,179.29,,,
4/15/2019,Loan Payment,179.29,,,
5/15/2019,Loan Payment,179.29,,,
6/15/2019,Loan Payment,179.29,,,
7/15/2019,Loan Payment,179.29,,,
8/15/2019,Loan Payment,179.29,,,
9/15/2019,Loan Payment,179.29,,,
10/15/2019,Loan Payment,179.29,,,
11/15/2019,Loan Payment,179.29,,,
12/15/2019,Loan Payment,179.29,,,
1/15/2020,Loan Payment,179.29,,,
2/9/2020,gas,24.89,56342,,2.839
2/25/2020,gas,20,56600,7.171,2.789
3/8/2020,gas,25.02,56811,9.068,2.759
3/27/2020,gas,23.43,57050,9.014,2.599
2/15/2020,Loan Payment,179.29,,,
3/15/2020,Loan Payment,179.29,,,
4/13/2020,gas,22.36,57302,8.949,2.499
5/2/2020,gas,19.53,57528,8.495,2.299
5/17/2020,gas,24.47,57755,9.417,2.599
6/2/2020,gas,21.26,,9.09,
6/23/2020,gas,21.03,58201,8.659,
7/12/2020,gas,23.28,58394,,2.499
7/28/2020,gas,20.12,,8.316,2.419
8/17/2020,gas,24.26,58773,9.708,
9/4/2020,gas,20.98,58959,8.638,2.429
9/20/2020,gas,22.94,59136,8.316,2.759
10/5/2020,gas,20.33,59355,8.039,2.529
10/20/2020,gas,20.77,59572,8.767,2.369
11/11/2020,gas,19.84,59770,8.411,2.359
11/25/2020,gas,23.15,60002,8.578,
12/15/2020,gas,19.73,60223,8.509,2.319
1/18/2021,gas,20.77,60659,8.053,2.579
1/18/2021,Smoggin,19.99,,,
1/18/2021,Registration,247.75,,,
1/30/2021,Repairs,956.54,,,
6/3/2019,Repairs,56.98,,,
12/21/2019,Repairs,122.49,,,
7/31/2020,Repairs,658.17,,,
2/4/2021,Gas,24.84,60895,9.34,2.649
3/2/2021,gas,26.78,61156,9.401,2.849
3/22022,gas,30.38,61412,9.618,3.159
4/8/2021,gas,29.19,61666,9.125,3.199
4/23/2021,gas,32.7,61892,9.943,3.289
5/6/2021,gas,34.18,62142,9.24,3.699
5/20/2021,gas,35.21,62356,10.197,3.459
6/5/2021,gas,31.86,62580,9.03,3.529
6/17/2021,gas,35.34,62797,10.042,3.519
6/25/2021,gas,37.41,,7.636,4.899
6/28/2021,gas,32.8,63276,6.981,4.699
7/2/2021,gas,30.45,63571,8.603,3.539
7/13/2021,gas,35.21,63788,9.728,3.6
7/29/2021,gas,33.97,63978,8.603,3.949
8/10/2021,gas,20,64158,5.183,3.859
8/17/2021,gas,36.87,,8.865,4.159
9/2/2021,gas,35.34,,9.303,3.799
9/15/2021,gas,39.77,,10.36,3.839
9/29/2021,gas,33.67,64946,9.006,3.739
11/3/2021,gas,36.03,65478,9.534,3.779
11/22/2021,gas,33.73,65714,8.786,3.839
12/9/2021,gas,37.23,69560,8.786,3.769
12/22/2021,gas,38.95,66232,10.093,3.859
1/4/2022,gas,32.07,66496,8.289,3.869
