date,cost,gallons,odometer,price_per_gallon
2018-12-08,30.00,,,
2018-12-21,30.00,,,
2019-01-12,24.62,8.672,50396,2.839
2019-02-15,26.35,9.550,50666,2.759
2019-03-14,28.17,9.786,50921,2.879
2019-03-29,26.63,9.316,,2.858
2019-04-15,32.45,10.144,51467,3.199
2019-05-04,33.63,10.012,51760,3.359
2019-05-17,28.63,8.497,52017,3.369
2019-06-07,29.02,8.613,52201,3.369
2019-06-19,31.35,9.168,52478,3.420
2019-07-02,28.41,8.561,52683,3.319
2019-07-17,17.06,5.140,52893,3.319
2019-07-26,10.02,3.183,53024,3.148
2019-07-30,28.54,9.063,53100,3.149
2019-08-11,29.45,9.150,53345,3.219
2019-08-23,29.32,9.585,53547,3.059
2019-09-06,26.98,8.996,53765,2.999
2019-10-01,20.00,,54090,
2019-10-15,35.24,10.338,54415,3.409
2019-10-30,30.59,9.216,54682,3.319
2019-11-24,28.41,8.880,55179,3.199
2019-12-12,27.01,8.976,55398,3.009
2019-12-25,28.00,9.337,55670,2.990
2020-01-09,21.35,7.468,55858,2.859
2020-01-27,23.75,8.486,56115,2.799
2020-02-09,24.89,8.766,56342,2.839
2020-02-25,20.00,7.171,56600,2.789
2020-03-08,25.02,9.068,56811,2.759
2020-03-27,23.43,9.014,57050,2.599
2020-04-13,22.36,8.949,57302,2.499
2020-05-02,19.53,8.495,57528,2.299
2020-05-17,24.47,9.417,57755,2.599
2020-06-02,21.26,9.090,,2.339
2020-06-23,21.03,8.659,58201,2.429
2020-07-12,23.28,9.316,58394,2.499
2020-07-28,20.12,8.316,,2.419
2020-08-17,24.26,9.708,58773,2.499
2020-09-04,20.98,8.638,58959,2.429
2020-09-20,22.94,8.316,59136,2.759
2020-10-05,20.33,8.039,59355,2.529
2020-10-20,20.77,8.767,59572,2.369
2020-11-11,19.84,8.411,59770,2.359
2020-11-25,23.15,8.578,60002,2.699
2020-12-15,19.73,8.509,60223,2.319
2021-01-18,20.77,8.053,60659,2.579
2021-02-04,24.84,9.340,60895,2.649
2021-03-02,26.78,9.401,61156,2.849
2021-03-20,30.38,9.618,61412,3.159
2021-04-08,29.19,9.125,61666,3.199
2021-04-23,32.70,9.943,61892,3.289
2021-05-06,34.18,9.240,62142,3.699
2021-05-20,35.21,10.197,62356,3.459
2021-06-05,31.86,9.030,62580,3.529
2021-06-17,35.34,10.042,62797,3.519
2021-06-25,37.41,7.636,,4.899
2021-06-28,32.80,6.981,63276,4.699
2021-07-02,30.45,8.603,63571,3.539
2021-07-13,35.21,9.728,63788,3.600
2021-07-29,33.97,8.603,63978,3.949
2021-08-10,20.00,5.183,64158,3.859
2021-08-17,36.87,8.865,,4.159
2021-09-02,35.34,9.303,,3.799
2021-09-15,39.77,10.360,,3.839
2021-09-29,33.67,9.006,64946,3.739
2021-11-03,36.03,9.534,65478,3.779
2021-11-22,33.73,8.786,65714,3.839
2021-12-09,37.23,9.879,,3.769
2021-12-22,38.95,10.093,66232,3.859
2022-01-04,32.07,8.289,66496,3.869
2022-01-13,18.39,5.081,66784,3.619
2022-01-18,33.98,9.388,66946,3.619
2022-01-26,33.14,8.633,67225,3.839
2022-02-03,37.07,9.411,67512,3.939
2022-02-11,38.39,10.185,67820,3.769
2022-02-21,36.95,9.727,68132,3.799
2022-03-02,36.95,9.218,68458,4.009
2022-03-09,47.66,9.403,68772,5.069
2022-03-20,20.00,4.082,69096,4.899
2022-03-22,35.00,6.556,69226,5.339
2022-03-31,20.00,4.001,69438,4.999
2022-04-03,51.60,10.200,69548,5.059
2022-04-11,48.94,9.771,69868,5.009
2022-04-23,48.76,9.150,70190,5.329
2022-05-01,45.90,9.237,70480,4.969
2022-05-09,52.39,10.377,70773,5.049
2022-05-22,50.80,9.983,71101,5.089
2022-05-30,41.07,8.216,71376,4.990
2022-06-08,54.97,9.978,71690,5.509
2022-06-17,50.93,9.261,71995,5.499
2022-06-26,52.32,9.515,72302,5.499
2022-07-06,51.59,9.692,72642,5.323
2022-07-12,47.36,9.110,,5.199
2022-07-26,49.95,10.194,73328,4.900
2022-08-04,20.92,4.423,73675,4.730
2022-08-09,20.00,4.228,73799,4.730
2022-08-14,40.00,7.891,73958,5.059
2022-08-21,42.87,9.529,,4.499
2022-08-29,49.24,9.849,,4.999
2022-09-07,40.88,8.794,,4.649
2022-09-13,39.74,7.748,,5.129
2022-09-23,49.87,10.728,75390,4.649
2022-10-03,54.20,9.298,,5.829
2022-10-14,47.77,9.003,76042,5.299
2022-10-21,39.29,8.452,76312,4.649
2022-10-31,41.16,9.088,76627,4.529
2022-11-05,20.00,3.877,76942,5.159
2022-11-10,53.57,10.304,77082,5.199
2022-11-20,41.73,8.768,,4.759
2022-11-29,43.61,10.145,,4.299
2022-12-14,36.88,9.837,78049,3.749
2023-01-01,37.71,9.154,78342,4.119
2023-01-19,37.71,10.448,78650,3.609
2023-02-01,35.07,8.353,78954,4.199
2023-02-15,42.61,9.472,79231,4.499
2023-02-25,39.90,9.390,,4.249
2023-03-10,35.12,8.170,,4.299
2023-03-20,20.00,4.989,80037,4.009
2023-03-24,33.71,8.430,,3.999
2023-04-01,38.14,9.948,,3.839
2023-04-13,43.51,10.487,80787,4.149
2023-04-18,34.97,9.377,,3.729
2023-04-24,37.53,9.269,,4.049
2023-05-07,29.66,7.218,81357,4.109
2023-05-14,30.00,7.400,81581,4.054
2023-05-24,42.56,9.809,81874,4.339
2023-06-06,37.49,9.192,,4.074
2023-06-15,44.43,10.812,,4.109
2023-06-27,38.92,9.495,82726,4.099
2023-07-06,41.33,10.414,,3.969
2023-07-19,41.78,10.581,83325,3.949
2023-08-07,42.77,10.308,83621,4.149
2023-08-19,36.61,8.823,83885,4.149
2023-09-01,49.45,10.990,,4.490
2023-09-16,52.78,10.773,84516,4.899
2023-09-30,52.16,9.607,84857,5.429
2023-10-11,48.57,10.425,,4.659
2023-10-25,38.84,8.931,,4.349
2023-11-05,41.34,9.189,,4.499
2023-11-17,35.49,8.744,86123,4.059
2023-11-26,22.57,5.700,86306,3.959
2023-12-06,36.64,9.774,,3.749
2023-12-27,35.77,10.107,86910,3.539
2024-01-08,38.44,9.220,87217,4.169
2024-01-26,37.98,10.762,87542,3.529
2024-02-10,35.21,9.220,87874,3.819
2024-02-22,42.03,9.777,,4.299
2024-03-02,32.11,8.236,88448,3.899
2024-03-21,44.70,9.936,88807,4.499
2024-04-05,46.78,9.748,89137,4.799
2024-04-23,46.18,9.622,,4.799
2024-05-02,31.35,7.209,89775,4.349
2024-05-17,39.95,9.515,,4.199
2024-05-31,40.16,10.042,,3.999
2024-06-13,38.30,9.748,,3.929
2024-06-29,49.43,10.747,,4.599
2024-07-11,38.85,9.716,,3.999
2024-07-27,35.98,9.649,,3.729
2024-08-18,40.30,9.879,,4.079
2024-08-27,31.45,7.673,,4.099
2024-09-10,42.09,10.268,,4.099
2024-09-28,38.02,9.507,,3.999
2024-10-15,38.65,10.175,,3.799
2024-10-29,35.66,10.076,,3.539
2024-11-16,32.32,9.594,93477,3.369
2024-12-13,32.63,9.378,,3.479
2024-12-15,31.58,9.373,94037,3.369
2024-12-27,31.78,9.489,,3.349
2025-01-11,31.84,8.470,,3.759
2025-01-22,36.78,9.531,,3.859
2025-02-01,28.17,8.289,,3.399
2025-02-12,33.20,7.833,,4.239
2025-02-22,34.02,9.374,,3.629
2025-03-01,39.22,9.568,,4.099
2025-03-08,28.34,7.086,,3.999
2025-03-17,39.75,9.940,,3.999
2025-03-27,42.80,10.291,96755,4.159
2025-04-08,40.82,9.364,,4.359
2025-04-19,39.38,9.378,,4.199
2025-04-29,34.71,9.977,,3.479
2025-05-06,34.96,10.225,,3.419
2025-05-20,32.76,8.905,98278,3.679
2025-05-26,32.85,9.362,,3.509
2025-06-05,41.30,9.930,98863,4.159
2025-06-15,31.44,9.827,99155,3.199
2025-06-20,33.70,9.605,99470,3.509
2025-06-28,41.19,10.299,,3.999
2025-07-06,25.56,8.524,100000,2.999
2025-07-16,,,,3.459
2025-08-02,38.80,9.559,,4.059
2025-08-11,41.22,10.572,,3.899
2025-08-26,41.77,10.093,,4.149
2025-09-11,43.92,10.360,,4.239
2025-09-22,39.08,9.897,,3.949
2025-10-04,36.65,9.990,,3.669
2025-10-21,36.99,9.815,102302,3.769
2025-10-30,37.90,9.977,,3.799
2025-11-12,39.72,9.689,,4.099
2025-11-27,39.58,9.750,,4.059
2025-12-12,31.98,9.326,,3.429
2025-12-24,33.03,10.105,,3.269
2026-01-04,30.43,9.603,,3.169
2026-01-17,31.30,9.401,,3.324
2026-01-31,33.42,9.745,,3.429
2026-02-12,28.14,8.231,,3.419
2026-02-21,31.96,9.486,,3.369
2026-03-01,18.62,5.400,,3.449
2026-03-14,47.30,10.065,,4.699
2026-03-26,50.25,9.665,,5.199
2026-04-03,51.35,9.954,,5.159
2026-04-17,41.39,8.770,,4.719
